email_subject,email_open_user_count,sent_user_count,open_rate
You shop when you share!,439,2517,17.44
Because Sharing is Caring,862,4944,17.44
Your chance to pretty! shop collection 🐇,58983,338224,17.44
Monday's best handpicked styles,216106,1241027,17.41
"{user_first_name}, Must have essentials for every wardrobe! Shop now",213109,1224754,17.4
Last and final call📣,2537,14592,17.39
Pull off this winter look in style.,22155,127551,17.37
Here's your way to the microwave,717,4131,17.36
Shop at Minimum! Best Picks,62109,358281,17.34
You are capable of more than you know,3014,17395,17.33
End Of Season Sale! Everything At Its best!,49659,286590,17.33
"{user_first_name}, Chic kurtas under 499 | Free Shipping",180577,1041995,17.33
"Hi{user_first_name}, Upto 70% off on stylish kurtas | Free Shipping",14189,81903,17.32
Serious Friday Feels Girls! 💁,35556,205428,17.31
Easy to style bottomwear + Free shipping,223039,1288903,17.3
Shirts for work & beyond in checks & stripes,150074,867491,17.3
Summer tees for a wardrobe upgrade,7690,44511,17.28
We are so sorry for the error!,8333,48213,17.28
"{user_first_name}, On Trend Kurtas: Buy 3 For 999 Only!",185389,1075457,17.24
"Buy 1 Get 2 FREE, price store or 80% Off | Free shipping",8552,49609,17.24
"{user_first_name}, Min. 50% Off on your favourite styles | Free shipping",211291,1226337,17.23
Hooded t-shirts starting 499!,6349,36838,17.23
The simplest things like Sharing can bring you great joy,564,3273,17.23
Camouflage is the print of the season,182621,1060834,17.21
All new Solid shirts! Upto 60% off,7535,43818,17.2
"""HALF WE PAY , HALF YOU PAY""",221281,1286796,17.2
All things blue!,150175,873245,17.2
Your potential is endless,6143,35740,17.19
"{user_first_name}, Min 60% off on best selling kurtas!",154691,900254,17.18
This. Just. In. Shop New & Trending!,44035,256483,17.17
140+ Dresses For Date Night,7618,44387,17.16
Summer tees in a bunch! Combos under 699,129716,756475,17.15
Never go to bed mad......,644,3756,17.15
Get. Set. GOLD💰,479,2795,17.14
A dinner date with your loved ones?,418,2439,17.14
Do you have 2 minutes to quickly share a look?,383,2234,17.14
"{user_first_name}, You're Going To Love This.",62654,365585,17.14
Gorgeous Anarkali Kurtas To Twirl In!,6241,36426,17.13
#Budgetbuys: t-shirts,50413,294242,17.13
The Coolest July Shop! Everything You Need,4447,25975,17.12
Min. 500 0ff on everything! Start shopping | Free Shipping,185654,1085907,17.1
"Wear It ""Everywhere"" Dresses | Free Shipping",1446,8460,17.09
The wedding season is in full swing! Are you?,4412,25814,17.09
Spread some love......NOW!!!,681,3985,17.09
For rain & shine: Shop comfy Cotton Kurtas,5383,31525,17.08
The coolest style for hot weather,231852,1357608,17.08
"You share, we make you shop - Deal!",425,2489,17.08
Style the cute-mad Jodi: Ranveer & Sara,359,2102,17.08
Good style can make the world go round,816,4778,17.08
Buy these prints you will love,177943,1041628,17.08
Handpicked styles for this Friday + Free shipping,145648,852516,17.08
CRIMSOUNE CLUB Upto 50% off,5235,30668,17.07
"{user_first_name}, Palazzos while you wait for your order!",21729,127370,17.06
Festive Block Prints on a budget,177064,1038895,17.04
Shop black & grey denims! upto 80% off!,90758,533440,17.01
Easy Maxi Dresses,174846,1028052,17.01
Tell Your Sisters: Upto 81% Off On Dresses | Free Shipping,57065,335675,17
Casual shirts for everyday,161395,950290,16.98
Because we trust your STYLE,739,4354,16.97
👖 Bottomwear to save the day!,189894,1119094,16.97
You're lucky when you're ready! Are you?,4834,28520,16.95
10 shirt & tie combos,33354,196875,16.94
Your style is Limited Edition,11660,68821,16.94
Georgette sarees that are instant classics,202961,1198547,16.93
On trend kurtas to wear all summer! Shop Now,211855,1252990,16.91
"{user_first_name}, Peter England Upto 60% off",3194,18915,16.89
"All things blue! Shop tees, shirts, sneakers & more",146467,867492,16.88
You get what you work and wish for!!!,10364,61400,16.88
6 Types Of T-Shirts For Every Season!,160873,953464,16.87
Handpicked Boat neck Kurtas for you,120538,714338,16.87
"Hi{user_first_name}, Hottest selling kurtas to steal!",42808,253850,16.86
The Slash sale is Live.,66541,394658,16.86
Saturday Goodies With Min. 500 Off | Free shipping,50770,301304,16.85
Starting 999: Kurtas you don't wanna miss,6564,38976,16.84
Fresh Florals For The Summer!,47918,285134,16.81
All Hot Things + Flat 50% Off,44131,262673,16.8
"Buy 2 for 999! Shop tees, watches & sunglasses",1015,6044,16.79
Casual trousers to look sharp in! Upto 70% off,169066,1006790,16.79
"Hi{user_first_name}, 53 Beautiful Kurtas In Soft Pastel Hues",190143,1133158,16.78
"{user_first_name}, 81% Off On The Prettiest Dresses",51613,307505,16.78
"Hunt for the ""Face of LimeRoad"" begins!",401,2390,16.78
Min. 500 off! Shop everything | Free Shipping,359001,2139817,16.78
Crop Tops For July!,72571,432799,16.77
Top Summer Tank Styles You Must Own!,111483,664879,16.77
Laal Banarasi Brocade sarees | Free Shipping,211719,1263227,16.76
Aspire to INSPIRE,754,4498,16.76
Casual shirts for everyday under 799,231884,1384073,16.75
"{user_first_name}, Bandhani saree & bestselling kurtas for you",217091,1296762,16.74
